,Unnamed: 0,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source,lastLetter
106,106,Noga Treves,Noga,Treves,female,,,1901,False,False,wikidata,a
107,107,Fatou Baldeh,Fatou,Baldeh,female,GM,Africa,1983,False,False,wikidata,u
108,108,Fatima Chiguer,Fatima,Chiguer,female,MA,Africa,1948,False,False,wikidata,a
109,109,Denise Fernandes,Denise,Fernandes,female,,,1990,False,False,wikidata,e
110,110,Agatha Cilliers,Agatha,Cilliers,female,ZA,Africa,1969,False,False,wikidata,a
111,111,Alemu Megertu,Alemu,Megertu,female,ET,Africa,1997,False,False,wikidata,u
112,112,Rahma Tusa,Rahma,Tusa,female,ET,Africa,1993,False,False,wikidata,a
113,113,Phumzile Sitole,Phumzile,Sitole,female,ZA,Africa,1989,False,False,wikidata,e
114,114,Rosemary Aluoch,Rosemary,Aluoch,female,KE,Africa,1976,False,False,wikidata,y
115,115,Adanech Abebe,Adanech,Abebe,female,ET,Africa,1950,False,False,wikidata,h
116,116,Charlbi Dean,Charlbi,Dean,female,ZA,Africa,1990,False,False,wikidata,i
117,117,Mariam Selim,Mariam,Selim,female,EG,Africa,2002,False,False,wikidata,m
119,119,Virginia Khunguni,Virginia,Khunguni,female,MW,Africa,1989,False,False,wikidata,a
120,120,Leslie Witz,Leslie,Witz,female,ZA,Africa,1959,False,False,wikidata,e
121,121,Aisha Tsamiya,Aisha,Tsamiya,female,NG,Africa,1992,False,False,wikidata,a
122,122,Leila Nakabira,Leila,Nakabira,female,UG,Africa,1993,False,False,wikidata,a
123,123,Fati Washa,Fati,Washa,female,NG,Africa,1993,False,False,wikidata,i
124,124,Simone Ackermann,Simone,Ackermann,female,ZA,Africa,1990,False,False,wikidata,e
127,127,Fati Shu'uma,Fati,Shu'uma,female,NG,Africa,1994,False,False,wikidata,i
128,128,Patricia Francourt,Patricia,Francourt,female,SC,Africa,1965,False,False,wikidata,a
129,129,Devika Vidot,Devika,Vidot,female,SC,Africa,1988,False,False,wikidata,a
130,130,Yola Mgogwana,Yola,Mgogwana,female,ZA,Africa,2008,False,False,wikidata,a
131,131,Aliaa Saleh,Aliaa,Saleh,female,EG,Africa,2004,False,False,wikidata,a
132,132,Sana Elsherbiny,Sana,Elsherbiny,female,EG,Africa,2004,False,False,wikidata,a
133,133,Polina Fouda,Polina,Fouda,female,EG,Africa,2003,False,False,wikidata,a
134,134,Salma Saleh,Salma,Saleh,female,EG,Africa,2003,False,False,wikidata,a
135,135,Tia Sobhy,Tia,Sobhy,female,EG,Africa,2003,False,False,wikidata,a
136,136,Malak Selim,Malak,Selim,female,EG,Africa,2003,False,False,wikidata,k
137,137,Login Elsasyed,Login,Elsasyed,female,EG,Africa,2003,False,False,wikidata,n
138,138,Sara Rostom,Sara,Rostom,female,EG,Africa,1996,False,False,wikidata,a
140,140,Janet Karim,Janet,Karim,female,MW,Africa,1954,False,False,wikidata,t
141,141,Zainab Gimba,Zainab,Gimba,female,NG,Africa,1972,False,False,wikidata,b
143,143,Farah Hussein,Farah,Hussein,female,EG,Africa,2001,False,False,wikidata,h
144,144,Mandy Mohamed,Mandy,Mohamed,female,EG,Africa,2000,False,False,wikidata,y
145,145,Farah Salem,Farah,Salem,female,EG,Africa,2001,False,False,wikidata,h
146,146,Adekemi Adesida,Adekemi,Adesida,female,NG,Africa,1991,False,False,wikidata,i
148,148,Helen Ocheke,Helen,Ocheke,female,NG,Africa,1989,False,False,wikidata,n
149,149,Adenike Oyekunle,Adenike,Oyekunle,female,NG,Africa,1996,False,False,wikidata,e
150,150,Oluwadamilola Oluwafemi,Oluwadamilola,Oluwafemi,female,NG,Africa,1994,False,False,wikidata,a
151,151,Cathryn Credo,Cathryn,Credo,female,TZ,Africa,1997,False,False,wikidata,n
152,152,Sheila Munyiva,Sheila,Munyiva,female,KE,Africa,1993,False,False,wikidata,a
153,153,Michelle Abueng,Michelle,Abueng,female,BW,Africa,2001,False,False,wikidata,e
